,Title,Author,Publication_Year,Link,Abstract,Topic_Category
0,Public Awareness and Knowledge of Oral Cancer in 13 Middle Eastern and North African Countries,Nassani M.Z.,2025-03-03,http://dx.doi.org/10.1001/jamanetworkopen.2025.0522,"ImportancePublic awareness of oral cancer is crucial for prevention, early detection, and improved survival rates. Knowledge gaps in Middle Eastern and North African countries and areas for public education need to be assessed.ObjectiveTo evaluate public knowledge and awareness of oral cancer, including risk factors, signs and symptoms, and protective measures, in Middle Eastern and North African countries.Design, Setting, and ParticipantsThis cross-sectional study was conducted using an open, web-based questionnaire from January to December 2022 across 13 Middle Eastern and North African countries (Saudi Arabia, Syria, Egypt, Jordan, Lebanon, Iraq, Sudan, Morocco, Algeria, Yemen, the United Arab Emirates, Qatar, and Oman). Participants were recruited from the general adult population via social media platforms.Main Outcomes and MeasuresPrimary outcomes included knowledge of risk factors, signs and symptoms, and protective measures. Factors associated with good knowledge were evaluated based on age, sex, education level, country income level, smoking status, smokeless tobacco use, and exposure to dental education on oral cancer.ResultsAmong 4197 participants (2243 aged 18-30 years [53.4%]; 2372 female [56.5%] and 1825 male [43.5%]), 1559 participants (37.2%) demonstrated good knowledge of oral cancer risk factors, 2028 participants (48.4%) were aware of its signs and symptoms, and 2478 participants (59.1%) recognized associated protective measures. Factors associated with good knowledge across all domains included university education (eg, risk factor knowledge: odds ratio [OR] vs ≤intermediate school, 1.52; 95% CI, 1.20-1.92), no tobacco use (eg, risk factor knowledge: OR for never smoking, 1.44; 95% CI, 1.20-1.74), and receiving education from a dentist (eg, risk factor knowledge: OR, 8.60; 95% CI, 7.33-10.08) at the P &amp;lt; .05 significance threshold. Being female (eg, 1491 females [62.9%] vs 987 males [54.1%] with good knowledge) and residing in upper-middle– or high- vs low- and lower-middle–income countries (eg, 1230 of 1891 participants [65.1%] vs 1248 of 2306 participants [54.2%] with good knowledge) were also associated with increased awareness of protective measures at the P &amp;lt; .00036 significance threshold with Bonferroni adjustment.Conclusions and RelevanceThis study found a significant lack of oral cancer awareness in Middle Eastern and North African populations, particularly among individuals with lower levels of education and those who used tobacco. Findings also underscore the critical role of dental professionals in improving public knowledge of oral cancer through targeted educational interventions.",Public Health
1,Gender Construction in Original Netflix Film: A Representation Study,Afifulloh M.,2025-03-03,http://dx.doi.org/10.46539/gmd.v7i1.529,"
Although the movement for gender equality has been present in many communities, gender is still a vulnerable issue due to the many phenomena of inequality in a global society. This study aims to explain the construction of gender represented in global films produced by Netflix in 2021-2022. The films are Kingdom: Ashin of The North (South Korea), Don’t Look Up (USA), I am All Girls (South Africa), A World Without (Indonesia), Santinelle (French), and The Weekend Away (USA). By using Stuart Hall’s representation theory, all these films are investigated to reveal the global gender construction. The representation theory utilizes language as the main medium in interpreting the meaning contained in films. There are three steps of representation in analyzing data, namely decoding, encoding, and myth analysis. Decoding and encoding are the steps for finding meaning through denotation and connotation as represented in the film, while myth is the broad meaning related to the cultural meaning. The results show that from the decoding and encoding steps, Original Netflix films have almost the same pattern. It depicts a narrative of women’s resilience in the face of oppression and injustice, highlighting the intersections of racial and social class discrimination. The film challenges traditional gender roles, affirms the fluidity of gender performativity, and works to dismantle entrenched patriarchal structures within society. The finding indicates that certain films may inadvertently reinforce stereotypes or offer superficial representations, particularly concerning traditional masculinity and male characters. The myth of patriarchy is still perpetuated even though there are many problems of injustice and oppression, especially for women. This myth is also reinforced and practiced by the female characters in the film. This is due to the tug-of-war relationship between voicing equality and commercial interests.
",Gender Studies
2,"Prospective harmonisation of four international randomised controlled trials in Canada, China, India and South Africa: The Healthy Life Trajectories Initiative",Bergeron J.,2025-03-03,http://dx.doi.org/10.1136/bmjopen-2024-086233,"ObjectivesThe Healthy Life Trajectories Initiative (HeLTI) is an international multistudy consortium that supports the development and integration of four randomised controlled trials (RCTs) conducted in South Africa, India, China and Canada. HeLTI aims to evaluate interventions to improve the health and well-being of mothers and children, starting from preconception through pregnancy and early childhood until age 5 years. This paper describes the process by which we prospectively harmonised the participating studies and provides a descriptive analysis of the study-specific harmonisation potential.DesignProspective harmonisation of four international RCTs.MethodsA list of core variables to be collected across ten waves of data collection was defined. Taking this list into consideration, investigators developed country-specific questionnaires that were then assessed and adjusted to optimise the harmonisation potential across countries. As questionnaires were not identical, where required, processing scripts were generated to help transform the collected data into the core variable format.SettingThe four RCTs are conducted in Canada, China, India and South Africa. The prospective harmonisation was led by the Maelstrom Research team in Canada.ParticipantsBetween 4500 and 6000 women planning to get pregnant are recruited in each RCT. Women remain in the study if they become pregnant inside the planned interval of 1–3 years, depending on the country.ResultsA total of 1962 variables from questionnaires, physical measurements and biospecimen analyses were defined across 10 timepoints of data collection and 3 subpopulations (mothers, partners and children). These variables cover 47 different domains of information. For the preconception phase, following the development of questionnaires and their implementation in the data collection software, 77.2% of the core variables defined can be created across the four studies.ConclusionThe HeLTI harmonisation process was successful, and the datasets generated represent a valuable resource allowing researchers to address a wide range of research questions on the impact of behaviour change interventions on maternal and child health indicators in different populations.",Public Health
3,Scoping review protocol of central chronic medicines dispensing and distribution programme for widening access to medications in South Africa,Ogbodu O.M.,2025-03-03,http://dx.doi.org/10.1136/bmjopen-2024-087332,"IntroductionThe Central Chronic Medicines Dispensing and Distribution (CCMDD) programme, a differentiated alternative service delivery programme, initiated by the Department of Health, South Africa, allows clinically stable patients to receive chronic medication refills at the clinic-based or community-based pick-up points, offering stable patients suffering from non-communicable diseases an easy way to collect their medication. This facilitates the achievement of positive therapeutic outcomes and underscores the importance of this programme, which has resulted in decreased stigma concerns and optimising the workload for public health facilities and health workers. Therefore, this scoping review aims to explore and describe how the improved CCMDD programme has widened access to medications in South Africa in readiness for the implementation of the National Health Insurance.Methods and analysisThis scoping review will be conducted using the Arksey and O’Malley framework and further refined by the Levac framework. The review will follow a six-step approach: (1) identifying the research question, (2) identifying relevant studies, (3) studying selection eligibility, (4) charting the data, (5) collating, summarising and reporting the results and (6) consultation. A comprehensive search strategy will be developed by searching studies published between 2014 and 2024 using the following electronic databases; PubMed, Web of Science and Google Scholar. Grey literature including conference abstracts and reports will also be searched. The Preferred Reporting Items for Systematic Reviews and the Meta-Analysis for Scoping Reviews (PRISMA-ScR) will be used as a guide for this scoping review protocol. Two independent reviewers will screen identified studies’ titles, abstracts and full texts. Discrepancies will be handled by consensus or consulting a third reviewer author. Data extraction will be conducted using a standardised form. The selection of studies for the review is anticipated to be completed within 10 weeks, from 15 March to 30 May 2025, with strict adherence to the guidelines of the PRISMA-ScR checklist.Ethics and disseminationThis review, not requiring ethical approval, will inform policymakers, researchers and healthcare professionals to improve the deliverables of the CCMDD programme for all chronic conditions and ailments with a high prevalence in South Africa and identify any research gaps. We plan to disseminate our findings via a peer-reviewed journal, policy briefs, conference presentations and stakeholder engagement.",Public Health
4,Self-harm among adolescents in sub-Saharan Africa: A scoping review protocol,Peterside O.,2025-03-03,http://dx.doi.org/10.1136/bmjopen-2024-094019,"IntroductionSelf-harm behaviour is commonly observed in adolescents and can serve as a potential warning sign for suicide. It is prevalent among adolescents in sub-Saharan Africa, with a median lifetime prevalence of 10.3%. The negative impacts of adolescent self-harm include poor educational performance, impaired physical functioning and unemployment. Despite its significance, there is limited knowledge and intervention programmes addressing self-harm in sub-Saharan Africa.ObjectiveThe proposed scoping review aims to identify and analyse the current literature on the types and factors associated with self-harm among adolescents in sub-Saharan Africa. The findings will guide future systematic reviews and qualitative and quantitative studies that will help address the knowledge gap. Findings from this study will also inform strategies to address this critical issue.MethodsThis scoping review will follow the Joanna Briggs Institute methodology. Studies on self-harm among adolescents between ages 10 and 19 years in any sub-Saharan African country done between 2000 and 2024 will be included. The literature search will be conducted across the following databases: Embase (Ovid), Medline (Ovid), PsycINFO (Ovid), PubMed, African Journals Online and African Index Medicus (WHO). Additional relevant articles will be searched in grey literature databases such as Google Scholar, conference proceedings, PhD theses and dissertations. Two reviewers will conduct title and abstract screening as well as full-text screening, with any conflicts resolved by a third independent reviewer.Ethics and DisseminationEthics approval is not required for this scoping review protocol. The review process and findings will be shared with and informed by relevant knowledge users. The findings of this review will be shared globally through an open-access peer-reviewed publication and conference presentations. The results will provide new insights for future systematic reviews and both quantitative and qualitative studies. Additionally, they will inform policies and intervention programmes for self-harm among adolescents in sub-Saharan Africa.",Psychology
5,Impact of a Mobile Money-Based Conditional Cash Transfer Intervention on Health Care Utilization in Southern Madagascar: Mixed-Methods Study,Franke M.A.,2025-03-03,http://dx.doi.org/10.2196/60811,"Abstract

Background
Mobile money–based cash transfer interventions are becoming increasingly utilized, especially in humanitarian settings. southern Madagascar faced a humanitarian emergency in 2021-2022, when the second wave of the COVID-19 pandemic and a severe famine affected the fragile region simultaneously.


Objective
This mixed-methods study aims to analyze the impact and factors influencing the success of a mobile money–based conditional cash transfer intervention for health care utilization at 4 primary and 11 secondary facilities in Madagascar.


Methods
We obtained quantitative data from 11 facility registers, detailing patient numbers per month, categorized into maternity care, surgical care, pediatric care, outpatient care, and inpatient care. An interrupted time series analysis, without a control group, was conducted using the end of the intervention in July 2022 as the cut off point. For qualitative data, 64 in-depth interviews were conducted with health care providers, NGO staff, policymakers, beneficiaries, and nonbeneficiaries of the intervention, and was interpreted by 4 independent researchers using reflexive thematic analysis to identify facilitators and barriers to implementation.


Results
The interrupted time series analysis showed a significant negative impact on health care utilization, indicating a reduction in health care–seeking behavior after the end of the cash transfer intervention. The effect was stronger in the slope change of patient numbers per month (defined as P<.05), which significantly decreased in 39 of 55 (70%) models compared to the step change at the end of the intervention, which showed a significant but lower change (P <.05) in 40% (22/55) of models. The changes were most pronounced in surgical and pediatric care. The key factors that influenced the success of the implementation were grouped across three levels. At the community level, outreach conducted to inform potential beneficiaries about the project by community health workers and using the radio was a decisive factor for success. At participating facilities, high intrinsic staff motivation and strong digital literacy among facility staff positively influenced the intervention. Confusion regarding previous activities by the same implementing NGO and perceptions of unfair bonus payments for health care providers included in the project negatively affected the intervention. Finally, at the NGO-level, the staff present at each facility and the speed and efficiency of administrative processes during the intervention were decisive factors that influenced the intervention.


Conclusions
The conditional cash transfer intervention was overarchingly successful in increasing health care utilization in southern Madagascar in a humanitarian setting. However, this success was conditional on key implementation factors at the community, facility, and NGO levels. In the future, similar interventions should proactively consider the key factors identified in this study to optimize the impact.
",Public Health
6,"Key Determinants of Visitor Satisfaction and Post-Visit Intentions at a Museum in the Kruger National Park, South Africa",Hermann U.P.,2025-03-02,http://dx.doi.org/10.18666/JPRA-2024-12196,"Museums preserve and present valued historical artifacts, information, and displays to an information-hungry tourism market. As such, they play a crucial role in the tourism industry, serving as pertinent leisure attractions in many destinations. It is therefore important for management to identify the key determinants that lead to tourist satisfaction and to tourists’ intention to return in future. This knowledge could assist management in making the informed strategic decisions for sustaining such attractions. Very little research has been conducted on this aspect in terms of museums in South Africa, leaving numerous unanswered questions about tourists’ experiences, the perceived quality of sites and tourists’ satisfaction with sites, which ultimately impact their intention to return. A quantitative survey was conducted at the Stevenson-Hamilton Knowledge Resource Centre and Museum (Skukuza Museum) in the Kruger National Park, where a total of 164 responses were obtained. Eight hypotheses were formulated and tested by utilizing Spearman’s correlation, investigating visitor expectations, experience, perceived quality, satisfaction, pleasure, confirmation and visitor intent. The results confirm the hypothesis that when tourists’ expectations are met, they experience a positive service experience and perceive the high quality. When tourists derive pleasure and satisfaction from the visit, they usually commit to a follow-up visit. The results of this study provide a basis for museum management, public sector visitor attractions, employees and academia to further develop these museums as successful visitor attractions.",Tourism and Hospitality Management
7,Low-Carbon Development Strategies for Power Generation Expansion in Sub-Saharan Africa: Insights from an Optimisation-Based Analysis for Kenya,Musonye X.S.,2025-03-01,http://dx.doi.org/10.3390/en18051049,"Energy production and consumption are major contributors to global anthropogenic greenhouse gas emissions. Sub-Saharan African countries face the challenge of harnessing diverse energy sources to meet rising demand affordably while curbing emissions. This study uses the optimisation-based Kenya-TIMES model to explore low-carbon strategies for Kenya’s power generation from 2020 to 2050. A business-as-usual (BAU) scenario is compared with four low-carbon scenarios: carbon tax, renewable portfolio standard, renewable energy subsidies, and a hybrid of subsidies and carbon tax. The analysis reveals that geothermal, wind, and hydropower dominate the energy mix until 2035 across all scenarios. After 2035, coal capacity in the BAU scenario is replaced by solar, gas, and biomass in low-carbon scenarios. While all low-carbon strategies, except the renewable energy subsidy scenario, meet Kenya’s nationally determined contribution (NDC) emission reduction targets by 2050, the hybrid scenario emerges as the most effective and cost-efficient pathway. Although achieving significant emissions reductions, the carbon tax and renewable portfolio standard scenarios result in higher system costs. The results indicate that an integrated optimisation-based approach can identify optimal energy development pathways that leverage local resources to accommodate growth and enhance energy access while minimising costs and emissions.",Environmental Science
8,Changes in the cover of selected invasive alien plant taxa between 2008 and 2023 in South Africa,Kotzé J.D.F.,2025-03-01,http://dx.doi.org/10.1007/s10530-025-03558-9,"Abstract
In 2007, the South African government commissioned a national-scale survey of invasive alien plants. The survey estimated the cover of 14 plant taxa on 47,830 plots of 100 × 100 m, using observers in low-flying aircraft. The survey was completed in 2008 and repeated between 2016 and 2023. An estimated 1.6% of the country was invaded at the end of the second survey, an increase of 10.6% between the two surveys. Trees in the genera Acacia, Eucalyptus, Pinus and Prosopis accounted for almost three quarters (72.4%) of the cover at the end of the second survey. The cover of most taxa increased between the two surveys, but some Acacia species, as well as Hakea shrubs and cacti (family Cactaceae), all of which are under biological control, decreased in cover. While other species increased despite biological control, there were no decreases in species that did not have biological control. The Indian Ocean Coastal Belt was the most invaded terrestrial biome, with 11% of the remaining natural vegetation invaded, followed by the Fynbos, Albany Thicket and Grassland biomes with 5.2, 2.8 and 2.5% alien plant cover respectively. For the remaining biomes, cover of invasive taxa was 1.1% or less. Wattles (Acacia dealbata, A. decurrens and A. mearnsii) and Eucalyptus species occupied the largest area and spread more rapidly than other taxa, but the relative contribution of taxa differed between biomes. Pinus and Prosopis trees were substantial threats in the Fynbos and arid area biomes respectively. Our results suggest that control efforts have not managed to stem the spread of invasive alien plants at a national scale, other than for some of those under biological control. This suggests that scarce funds should be focussed on priority areas, and that there should be a greater emphasis on expanding the use of biological control.",Ecology
9,Quantifying Tree Structural Change in an African Savanna by Utilizing Multi-Temporal TLS Data,Muumbe T.P.,2025-03-01,http://dx.doi.org/10.3390/rs17050757,"Structural changes in savanna trees vary spatially and temporally because of both biotic and abiotic drivers, as well as the complex interactions between them. Given this complexity, it is essential to monitor and quantify woody structural changes in savannas efficiently. We implemented a non-destructive approach based on Terrestrial Laser Scanning (TLS) and Quantitative Structure Models (QSMs) that offers the unique advantage of investigating changes in complex tree parameters, such as volume and branch length parameters that have not been previously reported for savanna trees. Leaf-off multi-scan TLS point clouds were acquired during the dry season, using a Riegl VZ1000 TLS, in September 2015 and October 2019 at the Skukuza flux tower in Kruger National Park, South Africa. These three-dimensional (3D) data covered an area of 15.2 ha with an average point density of 4270 points/m2 (0.015°) and 1600 points/m2 (0.025°) for the 2015 and 2019 clouds, respectively. Individual tree segmentation was applied on the two clouds using the comparative shortest-path algorithm in LiDAR 360(v5.4) software. We reconstructed optimized QSMs and assessed tree structural parameters such as Diameter at Breast Height (DBH), tree height, crown area, volume, and branch length at individual tree level. The DBH, tree height, crown area, and trunk volume showed significant positive correlations (R2 > 0.80) between scanning periods regardless of the difference in the number of points of the matched trees. The opposite was observed for total and branch volume, total number of branches, and 1st-order branch length. As the difference in the point densities increased, the difference in the computed parameters also increased (R2 < 0.63) for a high relative difference. A total of 45% of the trees present in 2015 were identified in 2019 as damaged/felled (75 trees), and the volume lost was estimated to be 83.4 m3. The results of our study showed that volume reconstruction algorithms such as TreeQSMs and high-resolution TLS datasets can be used successfully to quantify changes in the structure of savanna trees. The results of this study are key in understanding savanna ecology given its complex and dynamic nature and accurately quantifying the gains and losses that could arise from fire, drought, herbivory, and other abiotic and biotic disturbances.",Environmental Science
