,Unnamed: 0,Title,Author,Publication_Year,Link,Abstract,Repository,Topic_Category,Year,Country(s)
0,0,A Continent-Wide Assessment of Cyber Vulnerability Across Africa,"Abdijabar Yussuf Mohamed, Samuel Kang'ara Kamau",2023-01-08,http://arxiv.org/pdf/2301.03008v1,"As the internet penetration rate in Africa increases, so does the
proliferation of the Internet of Things (IoT) devices. Along with this growth
in internet access is the risk of cyberattacks to vulnerable IoT devices
mushrooming in the African cyberspace. One way to determine IoT vulnerabilities
is to find open ports within Africa s cyberspace. Our research leverages Shodan
search engine, a powerful tool for discovering IoT devices facing the public
internet, to find open ports across Africa. We conduct an analysis of our
findings, ranking countries from most to least vulnerable to cyberattack. We
find that South Africa,Tunisia, Morocco, Egypt, and Nigeria are the five
countries most susceptible to cyberattack on the continent. Further, 69.8% of
devices having one of the five most commonly open internet ports have had past
documented vulnerabilities. Following our analysis, we conclude with policy
recommendations for both the public and private sector.",arxiv,Cybersecurity,2023,"South Africa, Tunisia, Morocco, Egypt, Nigeria"
1,1,Physics Masterclasses in Africa and the World,"Uta Bilow, Kenneth Cecire",2022-05-24,http://arxiv.org/pdf/2206.07004v1,"International Masterclasses (IMC) enable high school students and teachers to
work with particle physicists to analyze authentic data from contemporary
experiments and experience being ""physicists for a day"". The IMC program has a
worldwide reach, including several universities and research institutes in
Egypt, Algeria, Morocco, Sao Tom'e and Principe, and South Africa. As technical
infrastructure in Africa improves, there is a great opportunity for many more
African institutes to offer IMC on their premises. The authors will discuss the
advantages of IMC to Africa, how institutes may join, and ways to overcome
obstacles.",arxiv,Physics Education,2022,"Egypt, Algeria, Morocco, Sao Tomé and Principe, South Africa"
2,2,Modelling spatio-temporal trends of air pollution in Africa,"Paterne Gahungu, Jean Remy Kubwimana, Lionel Jean Marie Benjamin Muhimpundu, Egide Ndamuzi",2022-08-21,http://arxiv.org/pdf/2208.12719v1,"Atmospheric pollution remains one of the major public health threat worldwide
with an estimated 7 millions deaths annually. In Africa, rapid urbanization and
poor transport infrastructure are worsening the problem. In this paper, we have
analysed spatio-temporal variations of PM2.5 across different geographical
regions in Africa. The West African region remains the most affected by the
high levels of pollution with a daily average of 40.856 $\mu g/m^3$ in some
cities like Lagos, Abuja and Bamako. In East Africa, Uganda is reporting the
highest pollution level with a daily average concentration of 56.14 $\mu g/m^3$
and 38.65 $\mu g/m^3$ for Kigali. In countries located in the central region of
Africa, the highest daily average concentration of PM2.5 of 90.075 $\mu g/m^3$
was recorded in N'Djamena. We compare three data driven models in predicting
future trends of pollution levels. Neural network is outperforming Gaussian
processes and ARIMA models.",arxiv,Environmental Science,2022,"Africa, Nigeria, Uganda, Rwanda, Chad"
3,3,Radio astronomy in Africa: the case of Ghana,"Bernard Duah Asabere, Michael Gaylard, Cathy Horellou, Hartmut Winkler, Thomas Jarrett",2015-03-30,http://arxiv.org/pdf/1503.08850v2,"South Africa has played a leading role in radio astronomy in Africa with the
Hartebeesthoek Radio Astronomy Observatory (HartRAO). It continues to make
strides with the current seven-dish MeerKAT precursor array (KAT-7), leading to
the 64-dish MeerKAT and the giant Square Kilometer Array (SKA), which will be
used for transformational radio astronomy research. Ghana, an African partner
to the SKA, has been mentored by South Africa over the past six years and will
soon emerge in the field of radio astronomy. The country will soon have a
science-quality 32m dish converted from a redundant satellite communication
antenna. Initially, it will be fitted with 5 GHz and 6.7 GHz receivers to be
followed later by a 1.4 - 1.7 GHz receiver. The telescope is being designed for
use as a single dish observatory and for participation in the developing
African Very Long Baseline Interferometry (VLBI) Network (AVN) and the European
VLBI Network. Ghana is earmarked to host a remote station during a possible SKA
Phase 2. The location of the country on 5 degree north of the Equator gives it
the distinct advantage of viewing the entire plane of the Milky Way galaxy and
nearly the whole sky. In this article, we present the case of Ghana in the
radio astronomy scene and the science/technology that will soon be carried out
by engineers and astronomers.",arxiv,Astronomy,2015,"South Africa, Ghana"
4,4,Modelling the impact of vaccination on the COVID-19 pandemic in African countries,"Dephney Mathebula, Abigail Amankwah, Kossi Amouzouvi, Kétévi A. Assamagan, Somiéalo Azote, Jesutofunmi Ayo Fajemisin, Jean Baptiste Fankam Fankam, Aluwani Guga, Moses Kamwela, Toivo S. Mabote, Mulape M Kanduza, Francisco Fenias Macucule, Azwinndini Muronga, Ann Njeri, Michael Oluwole, Cláudio Moisés Paulo",2022-09-19,http://arxiv.org/pdf/2209.08694v4,"The rapid development of vaccines to combat the spread of COVID-19 disease
caused by the SARS-CoV-2 virus is a great scientific achievement. Before the
development of the COVID-19 vaccines, most studies capitalized on the available
data that did not include pharmaceutical measures. Such studies focused on the
impact of non-pharmaceutical measures (e.g social distancing, sanitation,
wearing of face masks, and lockdown) to study the spread of COVID-19. In this
study, we used the SIDARTHE-V model which is an extension of the SIDARTHE model
wherein we include vaccination roll outs. We studied the impact of vaccination
on the severity (deadly nature) of the virus in African countries. Model
parameters were extracted by fitting simultaneously the COVID-19 cumulative
data of deaths, recoveries, active cases, and full vaccinations reported by the
governments of Ghana, Kenya, Mozambique, Nigeria, South Africa, Togo, and
Zambia. With countries having some degree of variation in their vaccination
programs, we considered the impact of vaccination campaigns on the death rates
in these countries. The study showed that the cumulative death rates declined
drastically with the increased extent of vaccination in each country; while
infection rates were sometimes increasing with the arrival of new waves, the
death rates did not increase as we saw before vaccination.",arxiv,Epidemiology,2022,"Ghana, Kenya, Mozambique, Nigeria, South Africa, Togo, Zambia"
5,5,Rwandacoin: Prospects and challenges of developing a cryptocurrency for transactions in Rwanda,"Oluwafunmilola Kesa, Violette Mahoro",2019-01-11,http://arxiv.org/pdf/1901.06249v1,"The use of cryptocurrencies such as Bitcoin and Ethereum in performing online
transactions has been on the rise in the world. Africa as a continent is not
left out in the adoption of blockchain and cryptocurrencies. This paper
explores the prospects and challenges of developing a cryptocurrency in Rwanda
which we denote Rwandacoin. In addition, the paper discusses the potentials of
Rwandacoin easing intercountry trading in East Africa.",arxiv,Economics,2019,Rwanda
6,6,African Democracy in the Era of Generative Disinformation: Challenges and Countermeasures against AI-Generated Propaganda,Chinasa T. Okolo,2024-07-10,http://arxiv.org/pdf/2407.07695v1,"In light of prominent discourse around the negative implications of
generative AI, an emerging area of research is investigating the current and
estimated impacts of AI-generated propaganda on African citizens participating
in elections. Throughout Africa, there have already been suspected cases of
AI-generated propaganda influencing electoral outcomes or precipitating coups
in countries like Nigeria, Burkina Faso, and Gabon, underscoring the need for
comprehensive research in this domain. This paper aims to highlight the risks
associated with the spread of generative AI-driven disinformation within Africa
while concurrently examining the roles of government, civil society, academia,
and the general public in the responsible development, practical use, and
robust governance of AI. To understand how African governments might
effectively counteract the impact of AI-generated propaganda, this paper
presents case studies illustrating the current usage of generative AI for
election-related propaganda in Africa. Subsequently, this paper discusses
efforts by fact-checking organisations to mitigate the negative impacts of
disinformation, explores the potential for new initiatives to actively engage
citizens in literacy efforts to combat disinformation spread, and advocates for
increased governmental regulatory measures. Overall, this research seeks to
increase comprehension of the potential ramifications of AI-generated
propaganda on democratic processes within Africa and propose actionable
strategies for stakeholders to address these multifaceted challenges.",arxiv,Political Science,2024,"Nigeria, Burkina Faso, Gabon"
7,7,Impact of contamination factors on the COVID-19 evolution in Senegal,"Vieux Medoune Ndiaye, Serigne Omar Sarr, Babacar Mbaye Ndiaye",2020-06-29,http://arxiv.org/pdf/2006.16326v1,"In this article, we perform an analysis of COVID-19 on one of the South
Saharan countries (hot zone), the Senegal (West Africa). Many questions remain
unanswered: why the African continent is not very contaminated compared to
other continents. Factors of cross immunity, temperature, population density,
youth, etc. are taken into account for an analysis of the contamination
factors. Numerical simulations are carried out for a prediction over the coming
week.",arxiv,Public Health,2020,Senegal
8,8,Predicting Insurance Penetration Rate in Ghana Using the Autoregressive Integrated Moving Average (ARIMA) Model,"Thomas Gyima-Adu, Godwin Gidisu",2025-02-11,http://arxiv.org/pdf/2502.07841v1,"Ghana records a low penetration of 1.05% compared to some of its African
counterparts. For example South Africa, which has an insurance penetration rate
of 17%, followed by Namibia which records 6.3%. This means, there is more room
for improvement. More upsetting, with Ghana hovering around the 1% as at 2018,
the rate works out to the small amount of Gross Domestic Product. This research
seeks to model and forecast insurance penetration rate in Ghana using the
Autoregressive Integrated Moving Average technique. The result indicates that
ARIMA (3,1,0) is the appropriate model for insurance penetration in Ghana.
Also, results from the forecast could serve as an advisory or the need to
re-strategize as a country. Therefore, determining the future pattern of
insurance penetration will lead to the remedies that will increase the number
of insured in the future.",arxiv,Economics,2025,"Ghana, South Africa, Namibia"
9,9,Development in astronomy in Ethiopia and East-Africa through nuclear activity in galaxies,Mirjana Pović,2020-04-26,http://arxiv.org/pdf/2004.12434v1,"In this paper we summarise the research that is currently going on in
Ethiopia and East-Africa in extragalactic astronomy and physics of active
galaxies and active galactic nuclei (AGN). The study is focused on some of the
still open questions such as: what are the stellar ages and populations of
ultra hard X-ray detected AGN and connection between AGN and their host
galaxies?, what are the properties of AGN in galaxy clusters and the role that
environment has in triggering nuclear activity?, what are the morphological
properties of AGN and how precisely we can deal with morphological
classification of active galaxies?, what are the properties of galaxies in the
green valley and the role of AGN in galaxy evolution?, and what are the
properties of radio-loud and radio-quiet quasars (QSO) and dichotomy between
the two?. Each of these questions has been developed under one specific project
that will be briefly introduced. These projects involve 6 PhD and 3 MSc
students and collaborations between Ethiopia, Rwanda, South Africa, Uganda,
Tanzania, Spain, Italy, and Chile. With all projects we aim: first, to
contribute to our general knowledge about AGN, and second, to contribute to the
development in astronomy and science in Ethiopia and East-Africa.",arxiv,Astronomy,2020,"Ethiopia, Rwanda, South Africa, Uganda, Tanzania, Spain, Italy, Chile"
